,cropped_images,text
0,parte_amistoso_0_23_3_11.jpg,B
1,parte_amistoso_0_23_3_17.jpg,16572018f
2,parte_amistoso_0_23_3_23.jpg,8386mgp
3,parte_amistoso_0_23_3_26.jpg,4028
4,parte_amistoso_0_23_3_27.jpg,C/ bermudez 97
5,parte_amistoso_0_23_3_32.jpg,94112
6,parte_amistoso_0_23_3_35.jpg,Espana
7,parte_amistoso_0_23_3_42.jpg,3/9
8,parte_amistoso_0_23_3_44.jpg,5406
9,parte_amistoso_0_23_3_47.jpg,Aguilera
10,parte_amistoso_0_23_3_55.jpg,2/2/2027
11,parte_amistoso_0_23_3_57.jpg,5558zue
12,parte_amistoso_0_23_3_8.jpg,6113336419
13,parte_amistoso_0_23_3_9.jpg,Balumba
14,parte_amistoso_1_19_3_11.jpg,A2
15,parte_amistoso_1_19_3_16.jpg,Espana
16,parte_amistoso_1_19_3_17.jpg,18588141G
17,parte_amistoso_1_19_3_18.jpg,6291415645
18,parte_amistoso_1_19_3_21.jpg,Letonia
19,parte_amistoso_1_19_3_29.jpg,Espana
20,parte_amistoso_1_19_3_33.jpg,Calle Sanchez 49
21,parte_amistoso_1_19_3_39.jpg,Ana Maria
22,parte_amistoso_1_19_3_41.jpg,12682
23,parte_amistoso_1_19_3_42.jpg,1/14
24,parte_amistoso_1_19_3_45.jpg,Gonzalez.Juan Antonio@Hotmail.Com
25,parte_amistoso_1_19_3_54.jpg,6836597216
26,parte_amistoso_1_19_3_6.jpg,7746
27,parte_amistoso_1_20_3_11.jpg,A2
28,parte_amistoso_1_20_3_30.jpg,Bravo.Claudia@Outlook.Com
29,parte_amistoso_1_20_3_33.jpg,Calle Sanchez 49
30,parte_amistoso_1_20_3_57.jpg,6020Qvk
31,parte_amistoso_1_20_3_59.jpg,Jeep Tl-Pick-Up
32,parte_amistoso_1_20_3_63.jpg,06:56
33,parte_amistoso_1_20_3_65.jpg,Gallocanta
34,parte_amistoso_1_20_3_66.jpg,"Juana Esteban, 6551789482"
35,parte_amistoso_1_23_3_0.jpg,Villava
36,parte_amistoso_1_23_3_11.jpg,A2
37,parte_amistoso_1_23_3_14.jpg,20/11/1982
38,parte_amistoso_1_23_3_17.jpg,18588141G
39,parte_amistoso_1_23_3_19.jpg,13/10/2038
40,parte_amistoso_1_23_3_23.jpg,9229Mxc
41,parte_amistoso_1_23_3_25.jpg,Castano
42,parte_amistoso_1_23_3_26.jpg,44912
43,parte_amistoso_1_23_3_29.jpg,Espana
44,parte_amistoso_1_23_3_31.jpg,Sanchez
45,parte_amistoso_1_23_3_39.jpg,Ana Maria
46,parte_amistoso_1_23_3_42.jpg,1/14
47,parte_amistoso_1_23_3_46.jpg,Mutua
48,parte_amistoso_1_23_3_48.jpg,A1
49,parte_amistoso_1_23_3_56.jpg,Limpiaparabrisas Golpeado
50,parte_amistoso_1_23_3_57.jpg,6020Qvk
51,parte_amistoso_1_23_3_6.jpg,7746
52,parte_amistoso_1_23_3_63.jpg,06:56
53,parte_amistoso_1_23_3_66.jpg,"Juana Esteban, 6551789482"
54,parte_amistoso_1_26_3_16.jpg,Espana
55,parte_amistoso_1_26_3_21.jpg,Letonia
56,parte_amistoso_1_26_3_22.jpg,Niu Sports-Pick-Up
57,parte_amistoso_1_26_3_24.jpg,Espana
58,parte_amistoso_1_26_3_28.jpg,Veronica
59,parte_amistoso_1_26_3_34.jpg,Maria
60,parte_amistoso_1_26_3_42.jpg,1/14
61,parte_amistoso_1_26_3_5.jpg,2/30
62,parte_amistoso_1_26_3_55.jpg,9/6/2016
63,parte_amistoso_1_26_3_61.jpg,Espana
64,parte_amistoso_1_26_3_64.jpg,Inglaterra
65,parte_amistoso_1_26_3_65.jpg,Gallocanta
66,parte_amistoso_1_26_3_66.jpg,"Juana Esteban, 6551789482"
67,parte_amistoso_1_26_3_7.jpg,Espana
68,parte_amistoso_1_26_3_9.jpg,Admiral
69,parte_amistoso_1_27_3_17.jpg,18588141G
70,parte_amistoso_1_27_3_22.jpg,Niu Sports-Pick-Up
71,parte_amistoso_1_27_3_26.jpg,44912
72,parte_amistoso_1_27_3_29.jpg,Espana
73,parte_amistoso_1_27_3_3.jpg,95916
74,parte_amistoso_1_27_3_32.jpg,73535
75,parte_amistoso_1_27_3_36.jpg,6301806592
76,parte_amistoso_1_27_3_39.jpg,Ana Maria
77,parte_amistoso_1_27_3_41.jpg,12682
78,parte_amistoso_1_27_3_49.jpg,Calle Mateo 29
79,parte_amistoso_1_27_3_59.jpg,Jeep Tl-Pick-Up
80,parte_amistoso_1_27_3_60.jpg,4284Hly
81,parte_amistoso_1_27_3_65.jpg,Gallocanta
82,parte_amistoso_1_27_3_8.jpg,6739483524
83,parte_amistoso_1_28_3_15.jpg,Ismael
84,parte_amistoso_1_28_3_20.jpg,761Ugv
85,parte_amistoso_1_28_3_22.jpg,Niu Sports-Pick-Up
86,parte_amistoso_1_28_3_25.jpg,Castano
87,parte_amistoso_1_28_3_29.jpg,Espana
88,parte_amistoso_1_28_3_3.jpg,95916
89,parte_amistoso_1_28_3_30.jpg,Bravo.Claudia@Outlook.Com
90,parte_amistoso_1_28_3_46.jpg,Mutua
91,parte_amistoso_1_28_3_53.jpg,2573155D
92,parte_amistoso_1_28_3_58.jpg,Espana
93,parte_amistoso_1_28_3_59.jpg,Jeep Tl-Pick-Up
94,parte_amistoso_1_28_3_60.jpg,4284Hly
95,parte_amistoso_1_28_3_62.jpg,14/1/1980
96,parte_amistoso_1_28_3_65.jpg,Gallocanta
97,parte_amistoso_1_29_3_0.jpg,Villava
98,parte_amistoso_1_29_3_11.jpg,A2
99,parte_amistoso_1_29_3_12.jpg,Guantera Estropeado
100,parte_amistoso_1_29_3_21.jpg,Letonia
101,parte_amistoso_1_29_3_3.jpg,95916
102,parte_amistoso_1_29_3_46.jpg,Mutua
103,parte_amistoso_1_29_3_5.jpg,2/30
104,parte_amistoso_1_29_3_50.jpg,12/6/1965
105,parte_amistoso_1_29_3_54.jpg,6836597216
106,parte_amistoso_1_29_3_57.jpg,6020Qvk
107,parte_amistoso_1_29_3_59.jpg,Jeep Tl-Pick-Up
108,parte_amistoso_1_29_3_8.jpg,6739483524
109,parte_amistoso_1_29_3_9.jpg,Admiral
110,parte_amistoso_1_32_3_1.jpg,Calle Serrano 9
111,parte_amistoso_1_32_3_15.jpg,Ismael
112,parte_amistoso_1_32_3_17.jpg,18588141G
113,parte_amistoso_1_32_3_20.jpg,761Ugv
114,parte_amistoso_1_32_3_21.jpg,Letonia
115,parte_amistoso_1_32_3_23.jpg,9229Mxc
116,parte_amistoso_1_32_3_27.jpg,C/ Martinez 28
117,parte_amistoso_1_32_3_3.jpg,95916
118,parte_amistoso_1_32_3_33.jpg,Calle Sanchez 49
119,parte_amistoso_1_32_3_38.jpg,Calle Leon 41
120,parte_amistoso_1_32_3_39.jpg,Ana Maria
121,parte_amistoso_1_32_3_40.jpg,Espana
122,parte_amistoso_1_32_3_46.jpg,Mutua
123,parte_amistoso_1_32_3_48.jpg,A1
124,parte_amistoso_1_32_3_5.jpg,2/30
125,parte_amistoso_1_32_3_51.jpg,Manuela
126,parte_amistoso_1_32_3_56.jpg,Limpiaparabrisas Golpeado
127,parte_amistoso_1_32_3_64.jpg,Inglaterra
128,parte_amistoso_1_32_3_66.jpg,"Juana Esteban, 6551789482"
129,parte_amistoso_1_33_3_10.jpg,Gil
130,parte_amistoso_1_33_3_2.jpg,Maria Isabel
131,parte_amistoso_1_33_3_20.jpg,761Ugv
132,parte_amistoso_1_33_3_34.jpg,Maria
133,parte_amistoso_1_33_3_38.jpg,Calle Leon 41
134,parte_amistoso_1_33_3_44.jpg,3341
135,parte_amistoso_1_33_3_54.jpg,6836597216
136,parte_amistoso_1_33_3_62.jpg,14/1/1980
137,parte_amistoso_1_33_3_63.jpg,06:56
138,parte_amistoso_1_35_3_0.jpg,Villava
139,parte_amistoso_1_35_3_10.jpg,Gil
140,parte_amistoso_1_35_3_11.jpg,A2
141,parte_amistoso_1_35_3_15.jpg,Ismael
142,parte_amistoso_1_35_3_25.jpg,Castano
143,parte_amistoso_1_35_3_3.jpg,95916
144,parte_amistoso_1_35_3_30.jpg,Bravo.Claudia@Outlook.Com
145,parte_amistoso_1_35_3_38.jpg,Calle Leon 41
146,parte_amistoso_1_35_3_47.jpg,Salas
147,parte_amistoso_1_35_3_49.jpg,Calle Mateo 29
148,parte_amistoso_1_35_3_55.jpg,9/6/2016
149,parte_amistoso_1_35_3_66.jpg,"Juana Esteban, 6551789482"
150,parte_amistoso_1_35_3_8.jpg,6739483524
151,parte_amistoso_1_37_3_1.jpg,Calle Serrano 9
152,parte_amistoso_1_37_3_12.jpg,Guantera Estropeado
153,parte_amistoso_1_37_3_2.jpg,Maria Isabel
154,parte_amistoso_1_37_3_20.jpg,761Ugv
155,parte_amistoso_1_37_3_28.jpg,Veronica
156,parte_amistoso_1_37_3_29.jpg,Espana
157,parte_amistoso_1_37_3_30.jpg,Bravo.Claudia@Outlook.Com
158,parte_amistoso_1_37_3_31.jpg,Sanchez
159,parte_amistoso_1_37_3_36.jpg,6301806592
160,parte_amistoso_1_37_3_38.jpg,Calle Leon 41
161,parte_amistoso_1_37_3_44.jpg,3341
162,parte_amistoso_1_37_3_47.jpg,Salas
163,parte_amistoso_1_37_3_58.jpg,Espana
164,parte_amistoso_1_37_3_64.jpg,Inglaterra
165,parte_amistoso_1_37_3_9.jpg,Admiral
166,parte_amistoso_1_38_3_14.jpg,20/11/1982
167,parte_amistoso_1_38_3_16.jpg,Espana
168,parte_amistoso_1_38_3_2.jpg,Maria Isabel
169,parte_amistoso_1_38_3_28.jpg,Veronica
170,parte_amistoso_1_38_3_38.jpg,Calle Leon 41
171,parte_amistoso_1_38_3_39.jpg,Ana Maria
172,parte_amistoso_1_38_3_43.jpg,1/25
173,parte_amistoso_1_38_3_46.jpg,Mutua
174,parte_amistoso_1_38_3_48.jpg,A1
175,parte_amistoso_1_38_3_54.jpg,6836597216
176,parte_amistoso_1_38_3_56.jpg,Limpiaparabrisas Golpeado
177,parte_amistoso_1_38_3_58.jpg,Espana
178,parte_amistoso_1_38_3_63.jpg,06:56
179,parte_amistoso_1_39_3_14.jpg,20/11/1982
180,parte_amistoso_1_39_3_15.jpg,Ismael
181,parte_amistoso_1_39_3_19.jpg,13/10/2038
182,parte_amistoso_1_39_3_28.jpg,Veronica
183,parte_amistoso_1_39_3_32.jpg,73535
184,parte_amistoso_1_39_3_37.jpg,Hondon De Las Nieves
185,parte_amistoso_1_39_3_40.jpg,Espana
